transform,split,blocks,relative_mse,papr_mean,angle_parameters,angle_metadata_bits_per_weight
identity,train,24,0.171010796097,25.5765220099,0,0
identity,held_out,24,0.152513893532,20.5520745408,0,0
selected_initial_butterfly,train,24,0.123961800013,13.3555163487,160,0.104166666667
selected_initial_butterfly,held_out,24,0.119982587236,12.9087951669,160,0.104166666667
learned_butterfly,train,24,0.0828392428946,9.2676575669,160,0.104166666667
learned_butterfly,held_out,24,0.129193470216,13.9963690657,160,0.104166666667
hadamard,train,24,0.123961800013,13.3555163487,0,0
hadamard,held_out,24,0.119982587236,12.9087951669,0,0
best_of_randomized_hadamard,train,24,0.11680576113,12.6617053349,0,0.00520833333333
best_of_randomized_hadamard,held_out,24,0.113723356643,12.5400534531,0,0.00520833333333
